Id,Score,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32
1,1,17,6,a,a,0,2,2,a,b,16,d,c,1,61,k,14,i,1,1,b,5,a,3,b,a,13,f,c,b,0,18,a
2,6,16,6,a,a,0,0,6,d,b,14,e,a,1,73,j,10,g,3,2,b,2,a,2,b,a,8,h,a,b,10,18,a
3,1,23,6,b,a,0,1,11,a,b,6,d,f,0,36,r,15,f,0,0,a,3,a,1,b,a,2,l,a,b,15,12,a
4,4,17,10,a,b,0,1,10,e,b,19,d,f,1,67,k,12,i,1,2,b,2,a,1,d,b,10,h,a,b,15,18,b
5,5,23,10,b,a,1,3,10,e,b,20,c,f,0,42,i,5,c,1,0,b,6,a,1,d,a,3,j,a,b,0,18,b
6,4,13,6,c,b,0,0,5,e,b,1,d,a,1,80,r,8,i,1,0,a,1,b,3,b,b,5,f,a,b,5,3,b
7,4,21,6,a,a,0,5,13,a,b,14,c,h,2,69,i,15,c,3,5,b,0,a,1,b,a,11,a,a,b,5,0,a
8,4,6,5,a,a,0,2,4,e,b,13,c,a,0,85,b,8,a,0,0,a,6,a,2,b,a,7,b,a,b,5,9,b
9,1,4,1,c,a,0,2,16,e,b,4,c,f,1,52,b,4,a,3,0,b,6,a,1,b,a,9,b,a,b,5,3,b
10,3,18,6,a,b,0,2,18,d,b,19,d,f,0,70,k,13,i,1,1,b,4,a,1,b,b,12,h,a,b,10,9,b
11,17,16,10,c,a,0,5,6,e,b,0,d,f,1,87,k,8,i,1,0,b,0,b,2,b,a,15,h,d,b,10,9,b
12,1,18,1,a,a,0,0,0,e,b,20,c,b,1,20,e,15,b,4,0,a,6,a,2,b,a,4,e,a,b,15,9,a
13,1,22,6,a,a,0,3,11,e,d,0,c,c,1,68,i,16,c,1,3,a,4,a,1,b,a,5,j,e,b,15,0,b
14,3,20,5,a,b,0,2,14,e,b,23,c,e,1,17,i,13,c,1,2,a,5,a,3,b,b,9,d,a,b,5,3,b
15,5,5,10,a,a,0,3,8,c,b,7,c,h,2,45,b,10,c,3,4,a,5,a,3,b,a,9,b,a,b,15,18,b
16,4,19,0,a,a,0,4,7,c,b,4,c,f,1,89,d,14,c,1,2,a,1,a,1,b,a,6,b,a,a,15,12,b
17,1,3,1,b,a,0,2,2,a,b,4,a,b,1,64,b,9,a,1,0,b,5,a,1,b,a,1,b,a,b,5,12,a
18,4,18,5,a,a,0,5,14,d,b,14,c,a,3,35,i,12,c,3,2,a,0,b,1,b,a,11,b,a,c,15,18,b
19,1,17,10,b,a,0,2,12,c,b,0,d,b,0,50,r,11,f,0,0,b,4,b,1,b,a,9,f,c,b,5,6,a
20,6,6,0,a,b,0,4,17,d,b,24,c,a,1,36,b,9,c,1,5,b,0,a,1,b,b,9,j,a,b,5,9,b
21,7,18,1,a,a,0,3,5,a,b,18,d,f,1,93,r,7,i,1,1,a,4,a,1,b,a,14,h,a,b,15,18,a
22,5,5,1,e,a,0,1,12,e,b,0,d,f,3,85,r,16,f,3,9,b,4,a,1,b,a,10,k,a,b,5,15,a
23,6,18,10,a,a,0,0,5,e,b,20,d,h,1,90,k,6,g,1,9,b,2,a,1,b,a,15,f,a,b,15,15,a
24,4,19,10,d,b,1,1,11,e,b,0,d,f,1,87,r,18,f,1,11,a,0,a,1,b,b,16,h,a,b,15,15,b
25,7,11,10,a,b,0,0,10,e,b,0,d,f,1,89,k,15,i,3,8,b,5,a,3,b,b,19,f,a,b,5,6,b
26,4,6,6,a,a,0,4,5,e,b,18,d,a,1,50,r,7,g,1,5,b,3,a,1,b,a,10,f,a,b,5,18,b
27,3,6,1,b,a,0,3,18,e,b,9,c,f,1,32,e,18,c,1,0,a,3,a,3,b,a,3,b,a,b,5,18,b
28,4,21,6,b,a,0,0,12,a,b,2,d,c,1,42,n,22,f,1,0,a,3,b,3,b,a,6,f,a,b,15,15,a
29,10,7,1,a,a,0,5,16,e,b,4,c,f,1,18,i,6,a,1,2,a,5,b,1,b,a,13,b,c,b,5,0,a
30,5,7,5,a,a,0,1,18,e,b,15,c,f,1,20,a,8,a,1,3,b,4,a,1,b,a,13,b,a,b,15,12,b
31,1,7,6,b,a,0,4,8,e,b,1,c,f,1,75,b,13,f,1,0,a,5,a,1,b,a,10,b,a,b,5,3,b
32,2,3,5,c,a,0,2,1,c,b,10,c,b,1,59,i,7,a,1,0,a,5,a,1,b,a,14,j,a,a,5,9,a
33,3,14,6,c,a,0,0,5,e,b,16,c,a,1,52,b,8,a,1,0,b,2,a,2,b,a,3,b,a,b,15,18,b
34,1,9,1,a,a,0,0,8,e,b,17,d,f,0,90,r,12,i,0,5,b,3,a,1,b,a,15,i,a,b,5,12,b
35,1,9,10,e,a,0,1,4,a,b,0,d,f,3,30,m,7,f,3,3,b,3,a,1,b,a,15,h,a,b,5,18,a
36,4,13,10,a,a,0,1,4,e,a,11,d,a,0,20,k,10,i,0,0,a,3,a,1,b,a,5,l,a,b,0,6,b
37,4,6,6,a,a,0,0,4,e,b,15,d,g,0,36,k,8,g,0,0,b,3,a,1,b,a,7,f,a,d,15,6,b
38,1,17,1,c,b,0,1,8,e,b,17,c,a,1,63,i,9,c,1,0,b,2,a,1,b,b,9,b,a,b,5,15,b
39,1,17,10,a,a,0,0,18,e,b,18,d,a,1,30,j,10,i,1,10,a,2,a,3,b,a,2,f,a,d,5,3,b
40,7,1,10,a,a,0,0,6,a,b,15,d,f,3,47,r,6,i,5,7,a,2,b,4,b,a,11,f,a,b,10,18,a
41,10,14,10,a,a,0,4,6,e,b,7,c,f,1,72,d,7,b,1,5,a,6,a,3,b,a,12,b,h,b,10,18,b
42,7,6,6,a,a,0,4,3,d,b,20,c,f,1,86,b,10,f,3,4,b,5,a,1,b,a,8,b,a,b,5,9,a
43,5,4,1,a,a,0,3,6,e,b,16,d,f,0,87,r,8,i,0,3,b,4,a,1,b,a,11,f,a,b,10,12,b
44,7,4,6,b,a,0,3,4,c,b,15,a,b,1,24,c,8,a,1,0,a,2,a,3,b,a,14,b,f,b,10,0,b
45,4,17,10,a,a,0,1,7,c,b,22,c,h,1,53,e,10,c,1,2,a,6,b,1,b,a,2,b,a,b,10,18,b
46,2,18,10,b,a,0,3,12,a,d,2,c,a,1,46,a,12,c,1,0,b,3,a,1,b,a,4,b,a,b,5,9,a
47,4,4,6,b,a,0,2,1,b,b,12,c,b,1,45,c,10,a,2,0,a,0,a,1,b,a,4,b,f,d,5,9,b
48,4,21,6,a,a,0,4,15,e,b,9,d,a,3,86,r,12,g,3,5,b,2,b,1,d,a,15,f,a,b,10,0,b
49,4,18,10,a,a,0,0,16,a,b,2,c,f,0,93,i,7,b,0,9,a,0,a,1,b,a,16,b,a,b,15,9,a
50,4,16,6,a,a,0,3,8,e,b,14,d,a,1,21,j,12,i,1,4,b,2,a,3,b,a,14,f,a,b,15,12,b
51,3,18,1,a,a,0,5,18,c,b,13,d,a,0,71,j,9,g,0,11,a,6,a,2,b,a,21,f,a,b,5,18,a
52,1,18,10,b,a,0,1,8,c,b,0,c,f,1,38,e,10,c,1,0,b,2,a,3,b,a,13,b,a,b,5,18,a
53,1,22,5,c,b,0,2,13,e,b,23,d,f,1,78,k,19,i,1,0,a,3,b,3,b,b,8,f,a,b,5,9,b
